	Unnamed: 0	Unnamed: 0.1	filename	onset	offset	event_label	start	name	original_label
305	10704	2178	3JLbAXsG_30.wav	0.0	1.564	Other	30	3JLbAXsG	/t/dd00005
2282	8655	1971	0qlMC4f7vVo_12.wav	0.392	1.484	BabyCry	12	0qlMC4f7vVo	/t/dd00002
1658	67	16780	Gd0VJ127NYc_10.wav	7.817	10.0	BabyCry	10	Gd0VJ127NYc	/t/dd00002
418	952	12887	1MGlGXKwo6s_30.wav	7.398	10.0	Other	30	1MGlGXKwo6s	/t/dd00005
2175	4037	4407	FSQ2vBJ0hmw_15.wav	0.707	0.985	BabyCry	15	FSQ2vBJ0hmw	/t/dd00002
2309	1287	16245	Iz887JCFlog_30.wav	5.145	5.413	BabyCry	30	Iz887JCFlog	/t/dd00002
2090	4763	2037	oCMds_6.wav	5.397	6.557	BabyCry	6	oCMds	/t/dd00002
502	5438	8387	G0iSJBAVvh0_40.wav	8.941	10.0	Other	40	G0iSJBAVvh0	/t/dd00005
1768	2791	13987	qKcoXEgBHM4_0.wav	2.575	3.32	BabyCry	0	qKcoXEgBHM4	/t/dd00002
1494	9810	4416	FSQ2vBJ0hmw_15.wav	5.776	6.054	BabyCry	15	FSQ2vBJ0hmw	/t/dd00002
2159	1418	2111	--EnKcYsPas_210.wav	4.34	5.144	BabyCry	210	--EnKcYsPas	/t/dd00002
945	4432	17968	PY6W2EGF9ho_30.wav	2.26	3.983	Other	30	PY6W2EGF9ho	/m/0ytgt
450	9804	7001	0TDDPNw1vfU_6.wav	0.474	2.886	Other	6	0TDDPNw1vfU	/t/dd00005
1856	7593	1950	gNeoYIaKgRc_10.wav	8.113	8.706	BabyCry	10	gNeoYIaKgRc	/t/dd00002
2373	5015	794	07m3-FOJQ-Q_10.wav	2.204	3.226	BabyCry	10	07m3-FOJQ-Q	/t/dd00002
1340	4795	9248	s39JEyak2GQ_40.wav	0.971	2.603	BabyCry	40	s39JEyak2GQ	/t/dd00002
112	317	17360	H8PFjvMjGB8_320.wav	2.181	2.425	Other	320	H8PFjvMjGB8	/t/dd00013
1777	3	16950	P02Zdk3amjk_30.wav	8.315	10.0	BabyCry	30	P02Zdk3amjk	/t/dd00002
1115	4163	9044	lfuL2P4N3gI_40.wav	9.732	10.0	Other	40	lfuL2P4N3gI	/m/0ytgt
1580	10966	618	h4yd3IuJEsU_10.wav	4.32	4.662	BabyCry	10	h4yd3IuJEsU	/t/dd00002
936	3590	17601	Mj51bVlY8Fg_150.wav	8.37	9.402	Other	150	Mj51bVlY8Fg	/m/0ytgt
2150	282	4525	SyMaE73Kym4_18.wav	5.955	6.189	BabyCry	18	SyMaE73Kym4	/t/dd00002
1251	6549	17090	dIIiaO12I5Q_6.wav	0.089	1.989	BabyCry	6	dIIiaO12I5Q	/t/dd00002
444	4000	16208	-n5qO-V8BQM_12.wav	2.151	5.845	Other	12	-n5qO-V8BQM	/t/dd00005
1868	1172	13517	QAA_30.wav	5.716	7.057	BabyCry	30	QAA	/t/dd00002
1128	3663	5849	7gXYlfE99G0_6.wav	6.973	7.632	Other	6	7gXYlfE99G0	/m/0ytgt
1674	5276	7040	b4V6A3gcqug_10.wav	7.687	8.413	BabyCry	10	b4V6A3gcqug	/t/dd00002
116	143	13712	d4Yz8RU5q9k_10.wav	0.008	2.685	Other	10	d4Yz8RU5q9k	/t/dd00013
219	4438	1766	ygBw6kx6YXM_20.wav	0.0	1.438	Other	20	ygBw6kx6YXM	/t/dd00135
1713	1899	553	cdHZul3A2jw_40.wav	1.015	1.748	BabyCry	40	cdHZul3A2jw	/t/dd00002
1825	9001	16324	xjiXiE65VMc_30.wav	7.625	8.282	BabyCry	30	xjiXiE65VMc	/t/dd00002
1511	4049	2471	cwzz1fNEUqg_30.wav	9.607	10.0	BabyCry	30	cwzz1fNEUqg	/t/dd00002
83	673	18399	-yc2dgZAkgM_1.wav	0.0	6.074	Other	1	-yc2dgZAkgM	/t/dd00013
1977	189	15603	xVQCXKl2sbw_20.wav	2.469	2.731	BabyCry	20	xVQCXKl2sbw	/t/dd00002
1444	10515	1951	gNeoYIaKgRc_10.wav	9.022	9.721	BabyCry	10	gNeoYIaKgRc	/t/dd00002
1698	5090	17490	5Eu8C0010X0_21.wav	0.563	0.901	BabyCry	21	5Eu8C0010X0	/t/dd00002
713	5871	17171	nITXcSultsw_30.wav	5.555	6.699	Other	30	nITXcSultsw	/t/dd00001
927	8492	15389	BuzX18GeJJs_250.wav	1.893	2.697	Other	250	BuzX18GeJJs	/m/0ytgt
527	10139	7174	qiuKFhMfuPY_490.wav	5.478	8.464	Other	490	qiuKFhMfuPY	/t/dd00005
2013	10148	15870	_70.wav	9.388	10.0	BabyCry	70		/t/dd00002
1367	9739	10128	UznbhXLZ1Io_0.wav	8.3	8.464	BabyCry	0	UznbhXLZ1Io	/t/dd00002
1037	9259	7598	L-cJzUsjr1Y_20.wav	4.609	5.01	Other	20	L-cJzUsjr1Y	/m/0ytgt
547	9237	12784	7Gdvy3ZG7y4_30.wav	0.0	4.164	Other	30	7Gdvy3ZG7y4	/t/dd00005
1032	3406	15285	XHGDo8gqhUo_30.wav	3.66	4.114	Other	30	XHGDo8gqhUo	/m/0ytgt
70	1919	17842	am29ZpBd3nI_200.wav	6.197	6.78	Other	200	am29ZpBd3nI	/t/dd00013
1805	3810	2081	5Yo00g8ugss_30.wav	9.737	10.0	BabyCry	30	5Yo00g8ugss	/t/dd00002
1811	2438	12123	qyrrz3-Dl-A_30.wav	0.339	1.181	BabyCry	30	qyrrz3-Dl-A	/t/dd00002
1095	1832	3595	QAzsKCDaANk_30.wav	7.882	8.486	Other	30	QAzsKCDaANk	/m/0ytgt
1617	8164	10201	MJyL-OTTT78_50.wav	6.262	10.0	BabyCry	50	MJyL-OTTT78	/t/dd00002
2321	2688	3263	z0cbtHEg-4s_170.wav	3.372	5.115	BabyCry	170	z0cbtHEg-4s	/t/dd00002
1481	1851	12133	qyrrz3-Dl-A_30.wav	8.992	10.0	BabyCry	30	qyrrz3-Dl-A	/t/dd00002
626	639	12911	EMQtjbQgCho_70.wav	0.0	0.712	Other	70	EMQtjbQgCho	/t/dd00001
868	9640	12727	jkP4NCWyq2Q_20.wav	5.86	6.271	Other	20	jkP4NCWyq2Q	/t/dd00001
2243	4594	1082	26yyv3N4adw_30.wav	6.597	7.223	BabyCry	30	26yyv3N4adw	/t/dd00002
1911	3478	14148	tVQ4CFGbMM4_10.wav	8.387	9.36	BabyCry	10	tVQ4CFGbMM4	/t/dd00002
1291	5057	554	cdHZul3A2jw_40.wav	1.952	2.921	BabyCry	40	cdHZul3A2jw	/t/dd00002
2119	3334	14672	DT1WrAVRtX8_20.wav	4.853	6.02	BabyCry	20	DT1WrAVRtX8	/t/dd00002
976	9418	5108	t-ZdLAoI47E_50.wav	2.483	5.245	Other	50	t-ZdLAoI47E	/m/0ytgt
538	10202	15989	pJlRP5sYW3g_30.wav	3.988	5.673	Other	30	pJlRP5sYW3g	/t/dd00005
147	3307	17513	bbB3UsT2rtU_560.wav	8.276	10.0	Other	560	bbB3UsT2rtU	/t/dd00135
796	7024	2280	bD7gjweJ11Q_40.wav	0.225	0.785	Other	40	bD7gjweJ11Q	/t/dd00001
2317	8458	17117	Of8y_30.wav	3.504	3.709	BabyCry	30	Of8y	/t/dd00002
472	4368	17409	w3QIsHxQfPE_120.wav	0.0	3.449	Other	120	w3QIsHxQfPE	/t/dd00005
2358	9990	3179	mSeolLQKgHg_30.wav	7.859	10.0	BabyCry	30	mSeolLQKgHg	/t/dd00002
620	3805	13132	uY_30.wav	1.421	4.236	Other	30	uY	/t/dd00001
1496	7368	7790	LqTZUgSifzc_30.wav	4.378	10.0	BabyCry	30	LqTZUgSifzc	/t/dd00002
39	6048	17841	am29ZpBd3nI_200.wav	4.646	6.039	Other	200	am29ZpBd3nI	/t/dd00013
406	4183	16931	ca-rGWC4xPc_30.wav	4.669	8.48	Other	30	ca-rGWC4xPc	/t/dd00005
2368	4272	15900	cD7dywdy9g0_30.wav	7.105	7.479	BabyCry	30	cD7dywdy9g0	/t/dd00002
679	11052	17348	89t0486uIfo_90.wav	3.85	6.219	Other	90	89t0486uIfo	/t/dd00001
1254	10423	14229	O9Bm3TfDVUU_130.wav	8.153	9.542	BabyCry	130	O9Bm3TfDVUU	/t/dd00002
1397	4980	13721	5rXvWzf3eXQ_30.wav	8.083	9.024	BabyCry	30	5rXvWzf3eXQ	/t/dd00002
453	9962	2870	UTjFyDj4L0k_150.wav	5.11	7.654	Other	150	UTjFyDj4L0k	/t/dd00005
1070	6417	376	E9etGzNH2SM_30.wav	4.301	6.48	Other	30	E9etGzNH2SM	/m/0ytgt
937	272	15057	AsrFDwHtbD4_80.wav	6.171	8.145	Other	80	AsrFDwHtbD4	/m/0ytgt
13	3106	16678	VwcaDl7eg30_30.wav	0.0	10.0	Other	30	VwcaDl7eg30	/t/dd00013
16	6720	11352	Ie6JiCtUTc0_20.wav	9.024	9.276	Other	20	Ie6JiCtUTc0	/t/dd00013
2169	1318	11249	4V3TFiHFqDc_120.wav	4.906	6.801	BabyCry	120	4V3TFiHFqDc	/t/dd00002
2091	2487	15403	iDGMsl23IK8_16.wav	0.0	0.544	BabyCry	16	iDGMsl23IK8	/t/dd00002
1946	9330	7819	9MDokkfGnFk_80.wav	0.655	2.312	BabyCry	80	9MDokkfGnFk	/t/dd00002
1520	70	16635	vwAXcR6wRuQ_10.wav	2.62	3.309	BabyCry	10	vwAXcR6wRuQ	/t/dd00002
529	1053	15267	MrFikjAAa1A_10.wav	8.236	10.0	Other	10	MrFikjAAa1A	/t/dd00005
1627	9566	7694	wdEAiAk-Xl0_5.wav	4.055	4.425	BabyCry	5	wdEAiAk-Xl0	/t/dd00002
114	6505	17367	H8PFjvMjGB8_320.wav	4.11	4.559	Other	320	H8PFjvMjGB8	/t/dd00013
2198	3216	15889	IeS5qVMohVM_30.wav	9.866	10.0	BabyCry	30	IeS5qVMohVM	/t/dd00002
554	5481	17140	ZSTtG1qYams_21.wav	0.362	7.219	Other	21	ZSTtG1qYams	/t/dd00005
987	4359	13506	u79xCTkz0rs_190.wav	1.136	1.693	Other	190	u79xCTkz0rs	/m/0ytgt
38	5443	14989	0dzUerZT8fk_30.wav	3.79	5.006	Other	30	0dzUerZT8fk	/t/dd00013
52	7314	16515	53fTLZAb8FY_170.wav	6.677	8.102	Other	170	53fTLZAb8FY	/t/dd00013
1563	4806	7202	rIZ3K4xqTPA_28.wav	7.113	8.064	BabyCry	28	rIZ3K4xqTPA	/t/dd00002
1027	169	1290	sYs1ss_250.wav	4.106	4.897	Other	250	sYs1ss	/m/0ytgt
954	1808	3525	_50.wav	0.437	1.268	Other	50		/m/0ytgt
1547	2416	16326	xjiXiE65VMc_30.wav	9.118	9.72	BabyCry	30	xjiXiE65VMc	/t/dd00002
1784	2432	4193	ikyuvMEe1Bw_30.wav	2.855	3.636	BabyCry	30	ikyuvMEe1Bw	/t/dd00002
379	789	5717	NpJMko4q4UM_30.wav	1.909	3.364	Other	30	NpJMko4q4UM	/t/dd00005
51	3587	18294	dOKfGfiqJns_560.wav	0.01	10.0	Other	560	dOKfGfiqJns	/t/dd00013
1521	5916	605	EZsXODJrMpc_0.wav	2.421	5.988	BabyCry	0	EZsXODJrMpc	/t/dd00002
2255	6900	1594	6E3ye6qWoAE_40.wav	4.861	5.463	BabyCry	40	6E3ye6qWoAE	/t/dd00002
1401	770	4983	BkpNbcOIvx4_80.wav	5.571	6.354	BabyCry	80	BkpNbcOIvx4	/t/dd00002
956	2153	4554	1wDSqgHW9og_240.wav	8.155	8.65	Other	240	1wDSqgHW9og	/m/0ytgt
2114	10937	6657	Cbl_30.wav	2.711	6.096	BabyCry	30	Cbl	/t/dd00002
1736	6608	15009	yOpYiaqPwwQ_4.wav	3.38	3.701	BabyCry	4	yOpYiaqPwwQ	/t/dd00002
2349	1535	4220	H52ca0pkOZ4_10.wav	0.071	0.78	BabyCry	10	H52ca0pkOZ4	/t/dd00002
1375	2056	17864	g9Qah25_14.wav	0.899	2.824	BabyCry	14	g9Qah25	/t/dd00002
2332	2631	99	i13woB5tvQE_30.wav	2.5	4.174	BabyCry	30	i13woB5tvQE	/t/dd00002
333	7007	17991	Bco7UQu9w2E_110.wav	3.149	3.496	Other	110	Bco7UQu9w2E	/t/dd00005
898	6292	3344	PcSKMxflV2k_220.wav	7.559	8.047	Other	220	PcSKMxflV2k	/t/dd00001
22	9751	17004	QfpUDp0MrfY_40.wav	0.591	7.575	Other	40	QfpUDp0MrfY	/t/dd00013
1415	275	12280	s_7.wav	3.782	5.97	BabyCry	7	s	/t/dd00002
307	454	12644	VUcOXPJ9HjI_0.wav	0.543	1.197	Other	0	VUcOXPJ9HjI	/t/dd00005
1959	10451	18935	StO32FBBIH4_11.wav	8.354	9.178	BabyCry	11	StO32FBBIH4	/t/dd00002
1913	9100	11947	Id4eMIZ6gak_16.wav	9.047	9.659	BabyCry	16	Id4eMIZ6gak	/t/dd00002
384	1472	1599	cbRROEN4xCQ_50.wav	3.521	6.067	Other	50	cbRROEN4xCQ	/t/dd00005
43	2775	15773	aj1CpOTC_180.wav	0.0	10.0	Other	180	aj1CpOTC	/t/dd00013
1669	5580	10329	sPLbsz2VgRk_60.wav	2.543	4.031	BabyCry	60	sPLbsz2VgRk	/t/dd00002
803	72	11782	RB44EBCHQig_20.wav	0.0	0.297	Other	20	RB44EBCHQig	/t/dd00001
888	7344	12536	6sYbxYnwmqk_0.wav	4.657	5.6	Other	0	6sYbxYnwmqk	/t/dd00001
2248	7898	1973	0qlMC4f7vVo_12.wav	3.03	5.915	BabyCry	12	0qlMC4f7vVo	/t/dd00002
1541	742	5069	t0wsULsz01E_0.wav	1.339	1.675	BabyCry	0	t0wsULsz01E	/t/dd00002
589	6889	18924	d-svfUMX3BM_10.wav	2.119	3.022	Other	10	d-svfUMX3BM	/t/dd00005
2231	10664	16247	Iz887JCFlog_30.wav	7.299	8.166	BabyCry	30	Iz887JCFlog	/t/dd00002
781	2626	18365	FOseBorBQ_460.wav	7.571	8.008	Other	460	FOseBorBQ	/t/dd00001
808	428	12378	gjDQGGvpHZI_30.wav	1.969	2.386	Other	30	gjDQGGvpHZI	/t/dd00001
1098	4856	15219	s3wbvVruXyM_350.wav	0.386	0.724	Other	350	s3wbvVruXyM	/m/0ytgt
1108	10556	4975	-MgaFLJT5GM_30.wav	6.338	6.912	Other	30	-MgaFLJT5GM	/m/0ytgt
1629	7665	107	i13woB5tvQE_30.wav	9.725	10.0	BabyCry	30	i13woB5tvQE	/t/dd00002
185	8559	11144	deZ90-6sLeQ_0.wav	0.0	10.0	Other	0	deZ90-6sLeQ	/t/dd00135
867	3564	13526	-nK-nHIhoiM_50.wav	1.777	2.135	Other	50	-nK-nHIhoiM	/t/dd00001
2168	4343	4410	FSQ2vBJ0hmw_15.wav	2.188	2.52	BabyCry	15	FSQ2vBJ0hmw	/t/dd00002
2211	1807	608	EZsXODJrMpc_0.wav	9.799	10.0	BabyCry	0	EZsXODJrMpc	/t/dd00002
957	5645	15985	vswxg7qTifc_90.wav	0.868	1.353	Other	90	vswxg7qTifc	/m/0ytgt
1724	4934	2737	x_25.wav	5.395	9.273	BabyCry	25	x	/t/dd00002
727	5816	16409	hOua7RdPg38_90.wav	3.867	6.509	Other	90	hOua7RdPg38	/t/dd00001
1247	6008	8390	8tn8CnP4MTs_30.wav	7.575	9.23	BabyCry	30	8tn8CnP4MTs	/t/dd00002
202	5037	1880	nmqPoPaUztU_30.wav	0.85	1.614	Other	30	nmqPoPaUztU	/t/dd00135
2319	2799	13643	lmcPFDI9F5U_30.wav	8.97	10.0	BabyCry	30	lmcPFDI9F5U	/t/dd00002
105	820	16554	LhpzNXhZ44c_30.wav	5.701	6.197	Other	30	LhpzNXhZ44c	/t/dd00013
178	11019	5577	ZFF8MSynyuE_230.wav	0.757	1.209	Other	230	ZFF8MSynyuE	/t/dd00135
42	7715	2867	ZUhEU8To7lE_10.wav	2.012	4.831	Other	10	ZUhEU8To7lE	/t/dd00013
616	10410	3345	PcSKMxflV2k_220.wav	8.244	9.118	Other	220	PcSKMxflV2k	/t/dd00001
1477	1668	2026	VulZxeOeHyg_100.wav	7.231	8.314	BabyCry	100	VulZxeOeHyg	/t/dd00002
629	2279	14619	0_90.wav	2.294	3.314	Other	90	0	/t/dd00001
356	2200	16711	4frNzH2u6Us_30.wav	3.08	3.309	Other	30	4frNzH2u6Us	/t/dd00005
590	8661	5729	AjAxY_10.wav	7.224	8.249	Other	10	AjAxY	/t/dd00005
1015	7781	5775	vLgyADm-hVs_10.wav	2.654	4.969	Other	10	vLgyADm-hVs	/m/0ytgt
1119	2445	7554	yxwjmK5FKPw_26.wav	4.38	4.66	Other	26	yxwjmK5FKPw	/m/0ytgt
531	8553	14701	y_60.wav	3.88	5.583	Other	60	y	/t/dd00005
1076	1403	3314	1_30.wav	9.206	9.454	Other	30	1	/m/0ytgt
655	2380	431	W5QwHjHf7fc_90.wav	0.0	0.858	Other	90	W5QwHjHf7fc	/t/dd00001
1241	1634	8875	jfJpfdPWrC4_10.wav	0.0	0.337	BabyCry	10	jfJpfdPWrC4	/t/dd00002
1818	7761	15075	jgXecFKbzuM_10.wav	1.512	1.859	BabyCry	10	jgXecFKbzuM	/t/dd00002
1385	7206	5493	b6NiLwHZyC8_9.wav	0.154	0.866	BabyCry	9	b6NiLwHZyC8	/t/dd00002
1587	7993	4377	iOdbSax_40.wav	0.978	1.362	BabyCry	40	iOdbSax	/t/dd00002
598	5762	15243	6U-UMQPqusQ_30.wav	3.173	3.575	Other	30	6U-UMQPqusQ	/t/dd00005
980	117	5566	qnM1dzTPBGI_340.wav	6.325	6.504	Other	340	qnM1dzTPBGI	/m/0ytgt
377	2833	9317	-OuOcYRX51c_30.wav	5.047	5.386	Other	30	-OuOcYRX51c	/t/dd00005
1125	2883	7809	kvMEDcd3NSM_500.wav	0.43	0.982	Other	500	kvMEDcd3NSM	/m/0ytgt
1781	7386	2115	--EnKcYsPas_210.wav	8.212	8.729	BabyCry	210	--EnKcYsPas	/t/dd00002
1793	2446	7333	3yCuFp1pz2c_140.wav	0.0	0.573	BabyCry	140	3yCuFp1pz2c	/t/dd00002
254	2928	18617	09kqMqn5rWs_260.wav	9.236	9.661	Other	260	09kqMqn5rWs	/t/dd00135
526	96	2174	uz14bgvt_80.wav	7.141	8.841	Other	80	uz14bgvt	/t/dd00005
1122	8238	15447	LQHBhq6sSJo_100.wav	4.701	5.066	Other	100	LQHBhq6sSJo	/m/0ytgt
1165	9913	3581	ovexaJA8euA_130.wav	0.948	1.693	Other	130	ovexaJA8euA	/m/0ytgt
1566	61	2034	oCMds_6.wav	1.386	1.866	BabyCry	6	oCMds	/t/dd00002
